,locusId,sysName,type,scaffoldId,begin,end,strand,name,desc,GC,nTA,pvalInitial,pvalCorrected,length,inserts,lg,predictedInsertionRate
0,HNEAP_RS00015,HNEAP_RS00015,1,NC_013422.1,159,1559,+,,chromosomal replication initiator protein DnaA,0.5353,30,2.2044575363058986e-21,1.1236340415337958e-28,1400,2,749.42,0.050333726824233704
1,HNEAP_RS00020,HNEAP_RS00020,1,NC_013422.1,1623,2735,+,,DNA polymerase III subunit beta,0.5346,22,1.1407391721267438e-16,2.2150065103792944e-22,1112,2,594.4752,0.05026790652014822
2,HNEAP_RS00025,HNEAP_RS00025,1,NC_013422.1,2815,3840,+,,DNA replication and repair protein RecF,0.5536,16,0.9999143702163883,0.9381957808221648,1025,64,567.4399999999999,0.05205445763104013
3,HNEAP_RS00030,HNEAP_RS00030,1,NC_013422.1,4029,6482,+,,DNA topoisomerase (ATP-hydrolyzing) subunit B,0.5534,49,1.5128648102997184e-42,1.1770275843751467e-57,2453,0,1357.4902,0.052035651829872846
4,HNEAP_RS00035,HNEAP_RS00035,1,NC_013422.1,6658,7233,+,,LemA family protein,0.533,16,0.9997002335221541,0.9752877789200968,575,39,306.475,0.05011746011080996
5,HNEAP_RS00040,HNEAP_RS00040,1,NC_013422.1,7248,8171,+,,hypothetical protein,0.539,22,0.9998580084984331,0.9570438354025781,923,58,497.497,0.05068163414582845
6,HNEAP_RS00045,HNEAP_RS00045,1,NC_013422.1,8681,9454,+,,exodeoxyribonuclease III,0.5103,26,0.9883955186821456,0.8199684883193397,773,42,394.46189999999996,0.0479830016783233
7,HNEAP_RS00050,HNEAP_RS00050,1,NC_013422.1,9655,12165,-,,ABC transporter permease,0.5707,48,0.9655562765345737,0.03437861442675523,2510,114,1432.4569999999999,0.05366235363084285
8,HNEAP_RS00055,HNEAP_RS00055,1,NC_013422.1,12156,12896,-,,ABC transporter,0.5789,10,0.9999916049141883,0.9806513279269147,740,53,428.38599999999997,0.05443339147870146
9,HNEAP_RS00060,HNEAP_RS00060,1,NC_013422.1,13056,13742,+,,arylesterase,0.5546,16,0.9999999185293535,0.9995478964088338,686,56,380.4556,0.052148486636876545
10,HNEAP_RS00065,HNEAP_RS00065,1,NC_013422.1,14129,14500,-,,DUF559 domain-containing protein,0.5188,9,0.9945868129917154,0.9334241294101532,371,24,192.47480000000002,0.048782248227932846
11,HNEAP_RS00070,HNEAP_RS00070,1,NC_013422.1,14569,15519,-,,IS110 family transposase,0.5741,13,0.9999999999999009,0.9999990662735532,950,87,545.3950000000001,0.05398205225068668
12,HNEAP_RS00075,HNEAP_RS00075,1,NC_013422.1,16642,17178,-,,prepilin-type cleavage/methylation domain-containing protein,0.5047,11,0.17763783870012384,0.028583036181368236,536,16,270.5192,0.04745643924563937
13,HNEAP_RS00080,HNEAP_RS00080,1,NC_013422.1,17753,18331,+,,Tfp pilus assembly protein FimT-like protein,0.5268,23,0.9999907604339561,0.9978156673693109,578,44,304.4904,0.049534480274624176
14,HNEAP_RS00085,HNEAP_RS00085,1,NC_013422.1,18315,18794,+,,type IV pilus modification protein PilV,0.5792,12,0.88288020778504,0.3089820891554708,479,23,277.4368,0.054461600180452395
15,HNEAP_RS00090,HNEAP_RS00090,1,NC_013422.1,18791,19822,+,,prepilin-type cleavage/methylation domain-containing protein,0.5407,35,0.9979742835529712,0.8073297540990174,1031,58,557.4617,0.050841483455750354
16,HNEAP_RS00095,HNEAP_RS00095,1,NC_013422.1,19825,20643,+,,hypothetical protein,0.5495,15,0.5119795954938711,0.03986366221756401,818,31,449.491,0.05166893870711082
17,HNEAP_RS00100,HNEAP_RS00100,1,NC_013422.1,20656,24519,+,,type 4 fimbrial biogenesis protein PilY1,0.5005,173,0.9999999999999999,0.9999999961753104,3863,262,1933.4314999999997,0.04706151742112641
18,HNEAP_RS00105,HNEAP_RS00105,1,NC_013422.1,24658,25152,+,,PilE protein,0.5394,19,0.9999999465624202,0.9999304777888007,494,45,266.4636,0.050719245748163014
19,HNEAP_RS00110,HNEAP_RS00110,1,NC_013422.1,25490,26074,+,,pilus assembly protein,0.5556,9,0.9985902222029458,0.9004049369530728,584,37,324.4704,0.05224251564271296
20,HNEAP_RS00115,HNEAP_RS00115,1,NC_013422.1,26258,26629,+,,DUF559 domain-containing protein,0.4946,11,0.050725100828833775,0.009582370371538848,371,8,183.4966,0.04650674628669156
21,HNEAP_RS00120,HNEAP_RS00120,1,NC_013422.1,26886,29708,-,,excinuclease ABC subunit UvrA,0.5912,48,0.6871325738593408,9.702114541001391e-05,2822,113,1668.3663999999999,0.055589948250489386
22,HNEAP_RS00125,HNEAP_RS00125,1,NC_013422.1,29824,30381,+,,single-stranded DNA-binding protein,0.5914,11,1.8330557343315856e-05,5.2676716186429495e-09,557,5,329.4098,0.055608754051656675
23,HNEAP_RS00130,HNEAP_RS00130,1,NC_013422.1,30592,32391,-,,gamma-glutamyltransferase,0.5767,34,0.9999999999957478,0.9996368350822218,1799,131,1037.4832999999999,0.05422652766586134
24,HNEAP_RS00135,HNEAP_RS00135,1,NC_013422.1,32408,33346,-,,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,0.5634,27,0.9999303662443342,0.9390765416423612,938,60,528.4692,0.05297594188823701
25,HNEAP_RS00140,HNEAP_RS00140,1,NC_013422.1,33737,34285,+,,metallophosphoesterase,0.5974,8,0.9984296945228398,0.8111632073261267,548,35,327.3752,0.05617292808667517
26,HNEAP_RS00145,HNEAP_RS00145,1,NC_013422.1,34356,35618,+,,ketohexokinase,0.5764,22,0.9999567326518641,0.8701859790981497,1262,77,727.4168000000001,0.05419831896411043
27,HNEAP_RS00150,HNEAP_RS00150,1,NC_013422.1,35755,38121,+,,GGDEF domain-containing protein,0.5758,27,0.9999899361111558,0.6917497873981904,2366,133,1362.3428,0.05414190156060857
28,HNEAP_RS00155,HNEAP_RS00155,1,NC_013422.1,38154,38462,+,,BolA family transcriptional regulator,0.5793,4,0.8589381732857772,0.38726159322848086,308,15,178.42440000000002,0.05447100308103604
29,HNEAP_RS00160,HNEAP_RS00160,1,NC_013422.1,38491,39528,+,,HDOD domain-containing protein,0.5694,17,0.5470849815897351,0.01575994626110151,1037,40,590.4678,0.05354011592325551
30,HNEAP_RS00165,HNEAP_RS00165,1,NC_013422.1,39572,41770,-,,bifunctional (p)ppGpp synthetase/guanosine-3' 5'-bis(diphosphate) 3'-pyrophosphohydrolase,0.5789,30,1.2021720902583739e-13,2.130855298546313e-25,2198,27,1272.4222,0.054433391478701465
31,HNEAP_RS00170,HNEAP_RS00170,1,NC_013422.1,41772,42095,-,,DNA-directed RNA polymerase subunit omega,0.5772,3,0.06837665721811485,0.00323030649102382,323,7,186.43560000000002,0.05427354216877956
32,HNEAP_RS00175,HNEAP_RS00175,1,NC_013422.1,42146,42775,-,,guanylate kinase,0.5794,9,1.8898819733406782e-11,4.974682426479655e-16,629,0,364.4426,0.05448040598161968
33,HNEAP_RS00180,HNEAP_RS00180,1,NC_013422.1,42782,43396,-,,DedA family protein,0.5707,11,0.8462773971293702,0.21559207696312527,614,28,350.4098,0.05366235363084285
34,HNEAP_RS00185,HNEAP_RS00185,1,NC_013422.1,43484,43954,-,,glycine zipper 2TM domain-containing protein,0.6178,11,0.9999808625081664,0.9735777646936762,470,37,290.366,0.05809111980573806
35,HNEAP_RS00190,HNEAP_RS00190,1,NC_013422.1,44187,44936,+,,membrane protein,0.5427,18,8.428772472484245e-10,1.0723661291629746e-13,749,3,406.48229999999995,0.05102954146742318
36,HNEAP_RS00195,HNEAP_RS00195,1,NC_013422.1,44946,45716,-,,exodeoxyribonuclease III,0.5551,17,0.574904920627717,0.05356262242998649,770,30,427.427,0.05219550113979476
37,HNEAP_RS00200,HNEAP_RS00200,1,NC_013422.1,46091,47482,-,,hypothetical protein,0.5338,27,0.7142387112529963,0.061882401289102815,1391,57,742.5158000000001,0.05019268331547909
38,HNEAP_RS00205,HNEAP_RS00205,1,NC_013422.1,48094,50388,+,,hypothetical protein,0.5712,60,0.9999999999999991,0.9999843567756364,2294,170,1310.3328000000001,0.053709368133761065
39,HNEAP_RS00210,HNEAP_RS00210,1,NC_013422.1,50405,51196,-,,TIGR01458 family HAD-type hydrolase,0.5934,13,0.9999733082097038,0.9422246609091935,791,54,469.37940000000003,0.05579681206332951
40,HNEAP_RS00215,HNEAP_RS00215,1,NC_013422.1,51408,52196,-,,competence/damage-inducible protein A,0.5805,10,0.9999996591185446,0.9955232371753164,788,60,457.434,0.05458383788803974
41,HNEAP_RS00220,HNEAP_RS00220,1,NC_013422.1,52193,53305,-,,ferrochelatase,0.5732,27,1.7876547004628826e-13,1.5999461002082883e-20,1112,5,637.3984,0.05389742614543389
42,HNEAP_RS00225,HNEAP_RS00225,1,NC_013422.1,53431,54390,+,,thioredoxin-disulfide reductase,0.5594,13,4.4709398219400884e-17,3.130317201590324e-23,959,0,536.4646,0.05259982586489135
43,HNEAP_RS00230,HNEAP_RS00230,1,NC_013422.1,54484,54804,+,,hypothetical protein,0.6012,4,0.9755592832367852,0.6453650135841941,320,19,192.384,0.05653023830885355
44,HNEAP_RS00235,HNEAP_RS00235,1,NC_013422.1,54801,55673,+,,hypothetical protein,0.6174,14,0.9999999418687959,0.9906661263553032,872,67,538.3728,0.0580535082034035
45,HNEAP_RS00240,HNEAP_RS00240,1,NC_013422.1,55687,56304,-,,5'-deoxynucleotidase,0.5485,12,0.2536607907569922,0.015051749208709737,617,20,338.42449999999997,0.0515749097012744
46,HNEAP_RS00245,HNEAP_RS00245,1,NC_013422.1,56333,57763,-,,deoxyguanosinetriphosphate triphosphohydrolase,0.5947,16,0.9963816035122246,0.30812933628474687,1430,75,850.421,0.05591904977091685
47,HNEAP_RS00250,HNEAP_RS00250,1,NC_013422.1,57863,58720,+,,NAD(P)-dependent oxidoreductase,0.6131,5,0.9999949719877603,0.9445903928877503,857,60,525.4267,0.0576491834783069
48,HNEAP_RS00255,HNEAP_RS00255,1,NC_013422.1,58846,60408,+,,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH,0.6065,19,2.3447521251210183e-27,1.4678964677915489e-40,1562,0,947.3530000000001,0.057028592039786566
49,HNEAP_RS00260,HNEAP_RS00260,1,NC_013422.1,60466,62061,+,,DNA recombination protein RmuC,0.5977,18,0.9970254065301537,0.255047595835666,1595,83,953.3315,0.0562011367884261
50,HNEAP_RS00265,HNEAP_RS00265,1,NC_013422.1,62045,62242,-,,hypothetical protein,0.5101,0,0.2270390937117781,0.08570546507268346,197,5,100.4897,0.047964195877156016
51,HNEAP_RS00270,HNEAP_RS00270,1,NC_013422.1,62254,63108,-,,metallophosphoesterase,0.5333,22,0.7456344992133018,0.1605918888326022,854,36,455.4382,0.05014566881256087
52,HNEAP_RS00275,HNEAP_RS00275,1,NC_013422.1,63522,63998,+,,hypothetical protein,0.499,14,0.531383177584035,0.2057171384226505,476,18,237.524,0.0469204739123718
53,HNEAP_RS00280,HNEAP_RS00280,1,NC_013422.1,64169,64549,+,,hypothetical protein,0.5249,9,0.6068790100803254,0.22462353750485609,380,15,199.46200000000002,0.04935582516353498
54,HNEAP_RS00285,HNEAP_RS00285,1,NC_013422.1,64607,67444,+,,bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase,0.5648,41,0.5558796206541846,0.0002245582836870049,2837,110,1602.3375999999998,0.05310758249640799
55,HNEAP_RS00290,HNEAP_RS00290,1,NC_013422.1,67499,67957,+,,hypothetical protein,0.5882,6,0.9879548330681669,0.6799664134041388,458,27,269.3956,0.05530786123298014
56,HNEAP_RS00295,HNEAP_RS00295,1,NC_013422.1,68056,68586,+,,molecular chaperone Skp,0.5593,10,0.9999999903749393,0.9999385054110668,530,49,296.42900000000003,0.05259042296430771
57,HNEAP_RS00300,HNEAP_RS00300,1,NC_013422.1,68944,69192,+,,phosphopantetheine-binding protein,0.5141,4,0.38235284551251864,0.1493355311673347,248,8,127.49680000000001,0.048340311900501684
58,HNEAP_RS00305,HNEAP_RS00305,1,NC_013422.1,69189,70436,+,,3-oxoacyl-ACP synthase,0.625,16,0.9999999999999973,0.9999789847586599,1247,109,779.375,0.05876812864776026
59,HNEAP_RS00310,HNEAP_RS00310,1,NC_013422.1,70516,70800,+,,acyl carrier protein,0.5123,3,0.6983558831137529,0.38630778442840347,284,12,145.4932,0.04817105968999613
60,HNEAP_RS12050,HNEAP_RS12050,1,NC_013422.1,70809,71507,+,,membrane protein-like protein,0.5851,15,0.9942735003450649,0.6442702018660695,698,40,408.39979999999997,0.05501637131488725
61,HNEAP_RS00320,HNEAP_RS00320,1,NC_013422.1,71516,73297,+,,AMP-dependent synthetase and ligase,0.5881,30,0.9999998214707404,0.9377848326171696,1781,113,1047.4061,0.055298458332396494
62,HNEAP_RS00325,HNEAP_RS00325,1,NC_013422.1,73294,74238,+,,acyl-CoA synthetase,0.5831,15,0.9664026604708236,0.27581847131423165,944,47,550.4463999999999,0.05482831330321441
63,HNEAP_RS00330,HNEAP_RS00330,1,NC_013422.1,74238,74837,+,,outer membrane lipoprotein carrier protein LolA,0.5767,9,0.99997778481039,0.9814207775043918,599,44,345.4433,0.05422652766586135
64,HNEAP_RS00335,HNEAP_RS00335,1,NC_013422.1,74834,77248,+,,MMPL domain-containing protein,0.5925,39,0.9921896451017566,0.05279499531431654,2414,116,1430.295,0.05571218595807673
65,HNEAP_RS00340,HNEAP_RS00340,1,NC_013422.1,77245,77697,+,,hypothetical protein,0.6004,5,0.9995826914672766,0.9187880108914118,452,32,271.3808,0.05645501510418443
66,HNEAP_RS00345,HNEAP_RS00345,1,NC_013422.1,78057,79043,+,,2-hydroxyacid dehydrogenase,0.5755,20,0.9843844846160512,0.404541474708756,986,51,567.443,0.05411369285885764
67,HNEAP_RS00350,HNEAP_RS00350,1,NC_013422.1,79194,79484,+,,PilZ domain-containing protein,0.6254,2,0.981909078295393,0.6527546641978246,290,18,181.36599999999999,0.05880574025009483
68,HNEAP_RS00355,HNEAP_RS00355,1,NC_013422.1,79586,80446,-,,glutamate racemase,0.5877,17,0.8312968162746901,0.08573823805955441,860,38,505.422,0.05526084673006194
69,HNEAP_RS00360,HNEAP_RS00360,1,NC_013422.1,80598,80861,-,,Txe/YoeB family addiction module toxin,0.4848,7,0.20392754126508178,0.08495965210970849,263,7,127.50240000000001,0.045585262029494686
70,HNEAP_RS00365,HNEAP_RS00365,1,NC_013422.1,80858,81100,-,,prevent-host-death family protein,0.4691,7,0.17420971045019795,0.0880852862277519,242,6,113.5222,0.04410900663786294
71,HNEAP_RS00370,HNEAP_RS00370,1,NC_013422.1,81093,81296,+,,hypothetical protein,0.4755,11,0.9943362298133998,0.979133158620798,203,15,96.5265,0.04471079227521601
72,HNEAP_RS00375,HNEAP_RS00375,1,NC_013422.1,81463,81732,-,,hypothetical protein,0.5296,4,0.10467526240971751,0.018281747830281556,269,6,142.4624,0.04979776149096614
73,HNEAP_RS00380,HNEAP_RS00380,1,NC_013422.1,82067,82297,-,,hypothetical protein,0.5022,6,0.9917099168504269,0.9532334458670217,230,16,115.506,0.04722136673104833
